kategorie,deutsch,kroatisch,lautschrift-hr,englisch,lautschrift-en
Substantiv (200 bildh.),Waffe,pištolj,[piʃtoʎ],gun,[ɡən]
Substantiv (200 bildh.),Haare,kosa,[kosa],hair,[hɛr]
Substantiv (200 bildh.),Hammer,čekić,[tʃekitɕ],hammer,[ˈhæmər]
Substantiv (200 bildh.),Hand,ruke,[ruke],hand,[hænd]
Adjektiv (100 allg.),hängend,vješanje,[ʋjeʃaɲe],hanging,[ˈhæŋɪŋ]
Adjektiv (100 allg.),glücklich,sretna,[sretna],happy,[ˈhæpi]
Substantiv (400 Dinge),Hafen,luka,[luka],harbor,[ˈhɑrbər]
Adjektiv (100 allg.),hart,teško,[teʃko],hard,[hɑrd]
Substantiv (400 Dinge),Harmonie,sklad,[sklad],harmony,[ˈhɑrməni]
Substantiv (200 bildh.),Hut,šešir,[ʃeʃir],hat,[hæt]
Substantiv (400 Dinge),hassen,mrziti,[mrziti],hate,[heɪt]
Verb,habe,imati,[imati],have,[hæv]
Partikel / Präposition,er,on,[on],he,[hi]
Substantiv (200 bildh.),Kopf,glavu,[ɡlaʋu],head,[hɛd]
Adjektiv (100 allg.),gesund,zdrava,[zdraʋa],healthy,[ˈhɛlθi]
Substantiv (400 Dinge),Hören,saslušanje,[sasluʃaɲe],hearing,[ˈhirɪŋ]
Substantiv (200 bildh.),Herz,srce,[srtse],heart,[hɑrt]
Substantiv (400 Dinge),Hitze,vrućina,[ʋrutɕina],heat,[hit]
Substantiv (400 Dinge),Hilfe,pomoć,[pomotɕ],help,[hɛlp]
Partikel / Präposition,hier,ovdje,[oʋdje],here,[hir]
Adjektiv (100 allg.),hoch,visoka,[ʋisoka],high,[haɪ]
Substantiv (400 Dinge),Geschichte,povijesti,[poʋjeːsti],history,[ˈhɪstəri]
Substantiv (400 Dinge),Loch,rupa,[rupa],hole,[hoʊl]
Adjektiv (100 allg.),hohl,šuplje,[ʃupʎe],hollow,[ˈhɑloʊ]
Substantiv (200 bildh.),Haken,udica,[uditsa],hook,[hʊk]
Substantiv (400 Dinge),Hoffnung,nadati se,[nadati se],hope,[hoʊp]
Substantiv (200 bildh.),Hupe,rog,[roɡ],horn,[hɔrn]
Substantiv (200 bildh.),Pferd,konja,[koɲa],horse,[hɔrs]
Substantiv (200 bildh.),Krankenhaus,bolnica,[bolnitsa],hospital,[ˈhɑˌspɪtəl]
Substantiv (400 Dinge),Stunde,sat,[sat],hour,[aʊər]
Substantiv (200 bildh.),Haus,kuća,[kutɕa],house,[haʊs]
Partikel / Präposition,wie,kako,[kako],how,[haʊ]
Substantiv (400 Dinge),Humor,humor,[xumor],humour,[ˈhjumər]
Partikel / Präposition,ich,ja,[ja],i,[aɪ]
Substantiv (400 Dinge),Eis,led,[led],ice,[aɪs]
Substantiv (400 Dinge),Idee,ideja,[ideja],idea,[aɪˈdiə]
Partikel / Präposition,wenn,ako,[ako],if,[ɪf]
Adjektiv (50 Gegensätze),krank,bolestan,[bolestan],ill,[ɪl]
Adjektiv (100 allg.),wichtig,važno,[ʋaʒno],important,[ˌɪmˈpɔrtənt]
Substantiv (400 Dinge),Impuls,impuls,[impuls],impulse,[ˌɪmˈpəls]
Partikel / Präposition,in,u,[u],in,[ɪn]
Substantiv (400 Dinge),erhöhen,povećanje,[poʋetɕaɲe],increase,[ˌɪnˈkris]
Substantiv (400 Dinge),Industrie,industrija,[industrija],industry,[ˈɪndəstri]
Substantiv (400 Dinge),Tinte,tinta,[tinta],ink,[ɪŋk]
Substantiv (400 Dinge),Insekt,kukac,[kukats],insect,[ˈɪnˌsɛkt]
Substantiv (400 Dinge),Instrument,instrument,[instrument],instrument,[ˈɪnstrəmənt]
Substantiv (400 Dinge),Versicherung,osiguranje,[osiɡuraɲe],insurance,[ˌɪnˈʃʊrəns]
Substantiv (400 Dinge),Interesse,kamata,[kamata],interest,[ˈɪntəˌrɛst]
Substantiv (400 Dinge),Erfindung,invencija,[inʋentsija],invention,[ˌɪnˈvɛnʃən]
Substantiv (400 Dinge),Eisen,željezo,[ʒeʎezo],iron,[aɪərn]
Substantiv (200 bildh.),Insel,otok,[otok],island,[ˈaɪlənd]
Substantiv (400 Dinge),Gelee,žele,[ʒele],jelly,[ˈdʒɛli]
Substantiv (200 bildh.),Juwel,dragulj,[draɡuʎ],jewel,[dʒuəl]
Substantiv (400 Dinge),beitreten,pridružiti se,[pridruʒiti se],join,[dʒɔɪn]
Substantiv (400 Dinge),Reise,putovanje,[putoʋaɲe],journey,[ˈdʒərni]
Substantiv (400 Dinge),Richter,suditi,[suditi],judge,[dʒədʒ]
Substantiv (400 Dinge),springen,skočiti,[skotʃiti],jump,[dʒəmp]
Verb,behalten,zadržati,[zadrʒati],keep,[kip]
Substantiv (200 bildh.),Wasserkocher,kuhalo za vodu,[kuxalo za ʋodu],kettle,[ˈkɛtəl]
Substantiv (200 bildh.),Schlüssel,ključ,[kʎutʃ],key,[ki]
Substantiv (400 Dinge),Tritt,udarac nogom,[udarats noɡom],kick,[kɪk]
Adjektiv (100 allg.),nett,vrsta,[ʋrsta],kind,[kaɪnd]
Substantiv (400 Dinge),Kuss,poljubac,[poʎubats],kiss,[kɪs]
Substantiv (200 bildh.),Knie,koljeno,[koʎeno],knee,[ni]
Substantiv (200 bildh.),Messer,nož,[noʒ],knife,[naɪf]
Substantiv (200 bildh.),Knoten,čvor,[tʃʋor],knot,[nɑt]
Substantiv (400 Dinge),Wissen,znanja,[znaɲa],knowledge,[ˈnɑlɪdʒ]
Substantiv (400 Dinge),Land,zemljište,[zemʎiʃte],land,[lænd]
Substantiv (400 Dinge),Sprache,jeziku,[jeziku],language,[ˈlæŋɡwɪdʒ]
Adjektiv (50 Gegensätze),zuletzt,posljednji,[posʎedɲi],last,[læst]
Adjektiv (50 Gegensätze),spät,kasno,[kasno],late,[leɪt]
Substantiv (400 Dinge),lachen,nasmijati se,[nasmijati se],laugh,[læf]
Substantiv (400 Dinge),Gesetz,pravo,[praʋo],law,[lɔ]
Substantiv (400 Dinge),führen,voditi,[ʋoditi],lead,[lɛd]
Substantiv (200 bildh.),Blatt,list,[list],leaf,[lif]
Substantiv (400 Dinge),Lernen,učenje,[utʃeɲe],learning,[ˈlərnɪŋ]
Substantiv (400 Dinge),Leder,koža,[koʒa],leather,[ˈlɛðər]
Adjektiv (50 Gegensätze),links,lijevo,[ljeːʋo],left,[lɛft]
Substantiv (200 bildh.),Bein,noga,[noɡa],leg,[lɛɡ]
Verb,lass,neka,[neka],let,[lɛt]
Substantiv (400 Dinge),Brief,pismo,[pismo],letter,[ˈlɛtər]
Substantiv (400 Dinge),Ebene,razini,[razini],level,[ˈlɛvəl]
Substantiv (200 bildh.),Bibliothek,knjižnica,[kɲiʒnitsa],library,[ˈlaɪbrɛˌri]
Substantiv (400 Dinge),heben,dizati,[dizati],lift,[lɪft]
Substantiv (400 Dinge),Licht,svjetlo,[sʋjetlo],light,[laɪt]
Adjektiv (100 allg.),wie,poput,[poput],like,[laɪk]
Substantiv (400 Dinge),Grenze,granica,[ɡranitsa],limit,[ˈlɪmət]
Substantiv (200 bildh.),Linie,linija,[linija],line,[laɪn]
Substantiv (400 Dinge),Leinen,laneno rublje,[laneno rubʎe],linen,[ˈlɪnən]
Substantiv (200 bildh.),Lippe,usna,[usna],lip,[lɪp]
Substantiv (400 Dinge),Flüssigkeit,tekućina,[tekutɕina],liquid,[ˈlɪkwɪd]
Substantiv (400 Dinge),Liste,lista,[lista],list,[lɪst]
Partikel / Präposition,wenig,malo,[malo],little,[ˈlɪtəl]
Adjektiv (100 allg.),leben,živeći,[ʒiʋetɕi],living,[ˈlɪvɪŋ]
Substantiv (200 bildh.),Schloss,zaključati,[zakʎutʃati],lock,[lɑk]
Adjektiv (100 allg.),lang,dugo,[duɡo],long,[lɔŋ]
Substantiv (400 Dinge),schau,pogledati,[poɡledati],look,[lʊk]
Adjektiv (50 Gegensätze),locker,labavo,[labaʋo],loose,[lus]
Substantiv (400 Dinge),Verlust,gubitak,[ɡubitak],loss,[lɔs]
Adjektiv (50 Gegensätze),laut,glasno,[ɡlasno],loud,[laʊd]
Substantiv (400 Dinge),Liebe,ljubavi,[ʎubaʋi],love,[ləv]
Adjektiv (50 Gegensätze),niedrig,nizak,[nizak],low,[loʊ]
Substantiv (400 Dinge),Maschine,stroj,[stroj],machine,[məˈʃin]
Verb,machen,napraviti,[napraʋiti],make,[meɪk]
Adjektiv (100 allg.),männlich,muškarac,[muʃkarats],male,[meɪl]
Substantiv (400 Dinge),Mann,čovjek,[tʃoʋjek],man,[mæn]
Substantiv (400 Dinge),Manager,menadžer,[menadʒer],manager,[ˈmænɪdʒər]
Substantiv (200 bildh.),Karte,karta,[karta],map,[mæp]
Substantiv (400 Dinge),markieren,označiti,[oznatʃiti],mark,[mɑrk]
Substantiv (400 Dinge),Markt,tržištu,[trʒiʃtu],market,[ˈmɑrkɪt]
Adjektiv (100 allg.),verheiratet,oženjen,[oʒeɲen],married,[ˈmɛrid]
Substantiv (400 Dinge),Masse,masa,[masa],mass,[mæs]
Substantiv (200 bildh.),Spiel,odgovarati,[odɡoʋarati],match,[mætʃ]
Adjektiv (100 allg.),Material,materijala,[materijala],material,[məˈtɪriəl]
Verb,Mai,svibanj,[sʋibaɲ],may,[meɪ]
Substantiv (400 Dinge),Mahlzeit,obrok,[obrok],meal,[mil]
Substantiv (400 Dinge),messen,mjeriti,[mjeriti],measure,[ˈmɛʒər]
Substantiv (400 Dinge),Fleisch,meso,[meso],meat,[mit]
Adjektiv (100 allg.),medizinisch,medicinski,[meditsinski],medical,[ˈmɛdɪkəl]
Substantiv (400 Dinge),Treffen,sastanak,[sastanak],meeting,[ˈmitɪŋ]
Substantiv (400 Dinge),Erinnerung,pamćenje,[pamtɕeɲe],memory,[ˈmɛməri]
Substantiv (400 Dinge),Metall,metalni,[metalni],metal,[ˈmɛtəl]
Substantiv (400 Dinge),Mitte,sredini,[sredini],middle,[ˈmɪdəl]
Adjektiv (100 allg.),Militär,vojnog,[ʋojnoɡ],military,[ˈmɪlɪˌtɛri]
Substantiv (400 Dinge),Milch,mlijeko,[mljeːko],milk,[mɪlk]
Substantiv (400 Dinge),Geist,uma,[uma],mind,[maɪnd]
Substantiv (400 Dinge),meins,moje,[moje],mine,[maɪn]
Substantiv (400 Dinge),Minute,minuta,[minuta],minute,[ˈmɪnət]
Substantiv (400 Dinge),Nebel,magla,[maɡla],mist,[mɪst]
Adjektiv (50 Gegensätze),gemischt,mješoviti,[mjeʃoʋiti],mixed,[mɪkst]
Substantiv (400 Dinge),Geld,novac,[noʋats],money,[ˈməni]
Substantiv (200 bildh.),Affe,majmun,[majmun],monkey,[ˈməŋki]
Substantiv (400 Dinge),Monat,mjesec,[mjesets],month,[mənθ]
Substantiv (200 bildh.),Mond,mjesec,[mjesets],moon,[mun]
Substantiv (400 Dinge),Morgen,jutro,[jutro],morning,[ˈmɔrnɪŋ]
Substantiv (400 Dinge),Mutter,majka,[majka],mother,[ˈməðər]
Substantiv (400 Dinge),Bewegung,kretanje,[kretaɲe],motion,[ˈmoʊʃən]
Substantiv (400 Dinge),Berg,planina,[planina],mountain,[ˈmaʊntən]
Substantiv (200 bildh.),Mund,usta,[usta],mouth,[maʊθ]
Substantiv (400 Dinge),bewegen,kretati se,[kretati se],move,[muv]
Partikel / Präposition,viel,puno,[puno],much,[mətʃ]
Substantiv (200 bildh.),Muskel,mišića,[miʃitɕa],muscle,[ˈməsəl]
Substantiv (400 Dinge),Musik,glazba,[ɡlazba],music,[mˈjuzɪk]
Substantiv (200 bildh.),Nagel,noktiju,[noktiju],nail,[neɪl]
Substantiv (400 Dinge),Namen,ime,[ime],name,[neɪm]
Adjektiv (50 Gegensätze),schmal,uski,[uski],narrow,[ˈnɛroʊ]
Substantiv (400 Dinge),Nation,nacija,[natsija],nation,[ˈneɪʃən]
Adjektiv (100 allg.),natürlich,prirodni,[prirodni],natural,[ˈnætʃərəl]
Partikel / Präposition,in der Nähe,blizu,[blizu],near,[nɪr]
Adjektiv (100 allg.),notwendig,potrebno,[potrebno],necessary,[ˈnɛsəˌsɛri]
Substantiv (200 bildh.),Hals,vrat,[ʋrat],neck,[nɛk]
Substantiv (400 Dinge),brauchen,trebati,[trebati],need,[nid]
Substantiv (200 bildh.),Nadel,igla,[iɡla],needle,[ˈnidəl]
Substantiv (200 bildh.),Nerv,živac,[ʒiʋats],nerve,[nərv]
Substantiv (200 bildh.),Netto,neto,[neto],net,[nɛt]
Adjektiv (100 allg.),neu,novi,[noʋi],new,[nu]
Substantiv (400 Dinge),Nachrichten,vijesti,[ʋjeːsti],news,[nuz]
Substantiv (400 Dinge),Nacht,noć,[notɕ],night,[naɪt]
Partikel / Präposition,Nein,br,[br],no,[noʊ]
Substantiv (400 Dinge),Lärm,buka,[buka],noise,[nɔɪz]
Adjektiv (100 allg.),normal,normalno,[normalno],normal,[ˈnɔrməl]
Partikel / Präposition,Norden,sjever,[sjeʋer],north,[nɔrθ]
Substantiv (200 bildh.),Nase,nos,[nos],nose,[noʊz]
Partikel / Präposition,nicht,nije,[nije],not,[nɑt]
Substantiv (400 Dinge),Hinweis,bilješka,[biʎeʃka],note,[noʊt]
Partikel / Präposition,jetzt,sada,[sada],now,[naʊ]
Substantiv (400 Dinge),Nummer,broj,[broj],number,[ˈnəmbər]
Substantiv (200 bildh.),Nuss,matica,[matitsa],nut,[nət]
Substantiv (400 Dinge),Beobachtung,promatranje,[promatraɲe],observation,[ˌɑbzərˈveɪʃən]
Partikel / Präposition,von,od,[od],of,[əv]
Partikel / Präposition,aus,isključeno,[iskʎutʃeno],off,[ɔf]
Substantiv (400 Dinge),Angebot,ponuda,[ponuda],offer,[ˈɔfər]
Substantiv (200 bildh.),Büro,ured,[ured],office,[ˈɔfəs]
Substantiv (400 Dinge),Öl,ulje,[uʎe],oil,[ɔɪl]
Adjektiv (50 Gegensätze),alt,stara,[stara],old,[oʊld]
Partikel / Präposition,auf,na,[na],on,[ɔn]
Partikel / Präposition,nur,jedini,[jedini],only,[ˈoʊnli]
Adjektiv (100 allg.),offen,otvorena,[otʋorena],open,[ˈoʊpən]
Substantiv (400 Dinge),Betrieb,operacija,[operatsija],operation,[ˌɑpərˈeɪʃən]
Substantiv (400 Dinge),Meinung,mišljenje,[miʃʎeɲe],opinion,[əˈpɪnjən]
Adjektiv (50 Gegensätze),Gegenteil,suprotnost,[suprotnost],opposite,[ˈɑpəzɪt]
Partikel / Präposition,oder,ili,[ili],or,[ər]
Substantiv (200 bildh.),orange,narančasta,[narantʃasta],orange,[ˈɔrɪndʒ]
Substantiv (400 Dinge),bestellen,poredak,[poredak],order,[ˈɔrdər]
Substantiv (400 Dinge),Organisation,organizacija,[orɡanizatsija],organization,[ˌɔrɡənəˈzeɪʃən]
Substantiv (400 Dinge),Ornament,ornament,[ornament],ornament,[ˈɔrnəmənt]
Partikel / Präposition,andere,drugo,[druɡo],other,[ˈəðər]
Partikel / Präposition,raus,van,[ʋan],out,[aʊt]
Substantiv (200 bildh.),Ofen,pećnica,[petɕnitsa],oven,[ˈəvən]
Partikel / Präposition,vorbei,preko,[preko],over,[ˈoʊvər]
Substantiv (400 Dinge),Besitzer,vlasnik,[ʋlasnik],owner,[ˈoʊnər]
Substantiv (400 Dinge),Seite,stranici,[stranitsi],page,[peɪdʒ]
Substantiv (400 Dinge),Schmerz,bol,[bol],pain,[peɪn]
Substantiv (400 Dinge),malen,slikati,[slikati],paint,[peɪnt]
Substantiv (400 Dinge),Papier,papir,[papir],paper,[ˈpeɪpər]
Adjektiv (100 allg.),parallel,paralelno,[paralelno],parallel,[ˈpɛrəˌlɛl]
Substantiv (200 bildh.),Paket,parcela,[partsela],parcel,[ˈpɑrsəl]
Substantiv (400 Dinge),Teil,dio,[dio],part,[pɑrt]
Adjektiv (100 allg.),Vergangenheit,prošlosti,[proʃlosti],past,[pæst]
Substantiv (400 Dinge),einfügen,zalijepiti,[zaljeːpiti],paste,[peɪst]
Substantiv (400 Dinge),Zahlung,plaćanje,[platɕaɲe],payment,[ˈpeɪmənt]
Substantiv (400 Dinge),Frieden,mir,[mir],peace,[pis]
Substantiv (200 bildh.),Stift,olovka,[oloʋka],pen,[pɛn]
Substantiv (200 bildh.),Bleistift,olovka,[oloʋka],pencil,[ˈpɛnsəl]
Substantiv (400 Dinge),Person,osoba,[osoba],person,[ˈpərsən]
Adjektiv (100 allg.),körperlich,fizički,[fizitʃki],physical,[ˈfɪzɪkəl]
Substantiv (200 bildh.),Bild,slika,[slika],picture,[ˈpɪktʃər]
Substantiv (200 bildh.),Schwein,svinja,[sʋiɲa],pig,[pɪɡ]
Substantiv (200 bildh.),Stift,pribadača,[pribadatʃa],pin,[pɪn]
Substantiv (200 bildh.),Rohr,cijev,[tsjeːʋ],pipe,[paɪp]
Substantiv (400 Dinge),Ort,mjesto,[mjesto],place,[pleɪs]
Substantiv (200 bildh.),Flugzeug,ravnina,[raʋnina],plane,[pleɪn]
Substantiv (400 Dinge),Pflanze,biljka,[biʎka],plant,[plænt]
Substantiv (200 bildh.),Platte,ploča,[plotʃa],plate,[pleɪt]
Substantiv (400 Dinge),spielen,svirati,[sʋirati],play,[pleɪ]
Partikel / Präposition,Bitte,molim te,[molim te],please,[pliz]
Substantiv (400 Dinge),Vergnügen,zadovoljstvo,[zadoʋoʎstʋo],pleasure,[ˈplɛʒər]
Substantiv (200 bildh.),Pflug/Pflug,plug/plug,[pluɡ/pluɡ],plough/plow,[plaʊ]
Substantiv (200 bildh.),Tasche,džep,[dʒep],pocket,[ˈpɑkət]
Substantiv (400 Dinge),Punkt,točka,[totʃka],point,[pɔɪnt]
Substantiv (400 Dinge),Gift,otrov,[otroʋ],poison,[ˈpɔɪzən]
Substantiv (400 Dinge),polieren,polirati,[polirati],polish,[ˈpɑlɪʃ]
Adjektiv (100 allg.),politisch,političkim,[polititʃkim],political,[pəˈlɪtɪkəl]
Adjektiv (100 allg.),arm,siromašan,[siromaʃan],poor,[pur]
Substantiv (400 Dinge),Portier,vratar,[ʋratar],porter,[ˈpɔrtər]
Substantiv (400 Dinge),Position,položaj,[poloʒaj],position,[pəˈzɪʃən]
Adjektiv (100 allg.),möglich,moguće,[moɡutɕe],possible,[ˈpɑsəbəl]
Substantiv (200 bildh.),Topf,lonac,[lonats],pot,[pɑt]
Substantiv (200 bildh.),Kartoffel,krumpir,[krumpir],potato,[pəˈteɪˌtoʊ]
Substantiv (400 Dinge),Pulver,prašak,[praʃak],powder,[ˈpaʊdər]
Substantiv (400 Dinge),Macht,snaga,[snaɡa],power,[paʊər]
Adjektiv (100 allg.),vorhanden,prisutan,[prisutan],present,[ˈprɛzənt]
Substantiv (400 Dinge),Preis,cijena,[tsjeːna],price,[praɪs]
Substantiv (400 Dinge),drucken,ispisati,[ispisati],print,[prɪnt]
Substantiv (200 bildh.),Gefängnis,zatvor,[zatʋor],prison,[ˈprɪzən]
Adjektiv (100 allg.),privat,privatni,[priʋatni],private,[ˈpraɪvət]
Adjektiv (100 allg.),wahrscheinlich,vjerojatan,[ʋjerojatan],probable,[ˈprɑbəbəl]
Substantiv (400 Dinge),Prozess,procesuirati,[protsesuirati],process,[ˈprɔˌsɛs]
Substantiv (400 Dinge),produzieren,proizvoditi,[proizʋoditi],produce,[ˈproʊdus]
Substantiv (400 Dinge),Gewinn,dobit,[dobit],profit,[ˈprɑfɪt]
Substantiv (400 Dinge),Eigentum,vlasništvo,[ʋlasniʃtʋo],property,[ˈprɑpərti]
Substantiv (400 Dinge),Prosa,proza,[proza],prose,[proʊz]
Substantiv (400 Dinge),Protest,protestirati,[protestirati],protest,[ˈproʊˌtɛst]
Adjektiv (50 Gegensätze),öffentlich,javni,[jaʋni],public,[ˈpəblɪk]
Substantiv (400 Dinge),ziehen,povući,[poʋutɕi],pull,[pʊl]
Substantiv (200 bildh.),Pumpe,pumpa,[pumpa],pump,[pəmp]
Substantiv (400 Dinge),Bestrafung,kazna,[kazna],punishment,[ˈpənɪʃmənt]
Substantiv (400 Dinge),Zweck,svrha,[sʋrxa],purpose,[ˈpərpəs]
Substantiv (400 Dinge),schieben,gurati,[ɡurati],push,[pʊʃ]
Verb,setzen,staviti,[staʋiti],put,[pʊt]
Substantiv (400 Dinge),Qualität,kvaliteta,[kʋaliteta],quality,[kˈwɑləti]
Substantiv (400 Dinge),Frage,pitanje,[pitaɲe],question,[kˈwɛʃən]
Adjektiv (100 allg.),schnell,brzo,[brzo],quick,[kwɪk]
Adjektiv (100 allg.),ruhig,tiho,[tixo],quiet,[kwaɪət]
Partikel / Präposition,ganz,prilično,[prilitʃno],quite,[kwaɪt]
Substantiv (200 bildh.),Schiene,željeznicom,[ʒeʎeznitsom],rail,[reɪl]
Substantiv (400 Dinge),Regen,kiša,[kiʃa],rain,[reɪn]
Substantiv (400 Dinge),Reichweite,domet,[domet],range,[reɪndʒ]
Substantiv (200 bildh.),Ratte,štakor,[ʃtakor],rat,[ræt]
Substantiv (400 Dinge),Rate,stopa,[stopa],rate,[reɪt]
Substantiv (400 Dinge),Strahl,zraka,[zraka],ray,[reɪ]
Substantiv (400 Dinge),Reaktion,reakcija,[reaktsija],reaction,[riˈækʃən]
Substantiv (400 Dinge),Lesen,čitanje,[tʃitaɲe],reading,[ˈrɛdɪŋ]
Adjektiv (100 allg.),fertig,spreman,[spreman],ready,[ˈrɛdi]
Substantiv (400 Dinge),Grund,razlog,[razloɡ],reason,[ˈrizən]
Substantiv (200 bildh.),Quittung,primitak,[primitak],receipt,[rɪˈsit]
Substantiv (400 Dinge),aufzeichnen,zapisnik,[zapisnik],record,[ˈrɛkərd]
Adjektiv (100 allg.),rot,crvena,[tsrʋena],red,[rɛd]
Substantiv (400 Dinge),Bedauern,žaljenje,[ʒaʎeɲe],regret,[rɪˈɡrɛt]
Adjektiv (100 allg.),regelmäßig,redovito,[redoʋito],regular,[ˈrɛɡjələr]
Substantiv (400 Dinge),Beziehung,odnos,[odnos],relation,[riˈleɪʃən]
Substantiv (400 Dinge),Religion,vjera,[ʋjera],religion,[rɪˈlɪdʒən]
Substantiv (400 Dinge),Vertreter,predstavnik,[predstaʋnik],representative,[ˌrɛprɪˈzɛnətɪv]
Substantiv (400 Dinge),Anfrage,zahtjev,[zaxtjeʋ],request,[rɪkˈwɛst]
Substantiv (400 Dinge),Respekt,poštovanje,[poʃtoʋaɲe],respect,[rɪˈspɛkt]
Adjektiv (100 allg.),verantwortlich,odgovoran,[odɡoʋoran],responsible,[riˈspɑnsəbəl]
Substantiv (400 Dinge),Ruhe,odmoriti se,[odmoriti se],rest,[rɛst]
Substantiv (400 Dinge),Belohnung,nagrada,[naɡrada],reward,[rɪˈwɔrd]
Substantiv (400 Dinge),Rhythmus,ritam,[ritam],rhythm,[ˈrɪðəm]
Substantiv (400 Dinge),Reis,riža,[riʒa],rice,[raɪs]
Adjektiv (100 allg.),richtig,desno,[desno],right,[raɪt]
Substantiv (200 bildh.),klingeln,prsten,[prsten],ring,[rɪŋ]
Substantiv (400 Dinge),Fluss,rijeka,[rjeːka],river,[ˈrɪvər]
Substantiv (400 Dinge),Straße,cesta,[tsesta],road,[roʊd]
Substantiv (200 bildh.),Stab,šipka,[ʃipka],rod,[rɑd]
Substantiv (400 Dinge),rollen,smotati,[smotati],roll,[roʊl]
Substantiv (200 bildh.),Dach,krovište,[kroʋiʃte],roof,[rʊf]
Substantiv (400 Dinge),Zimmer,soba,[soba],room,[rum]
Substantiv (200 bildh.),Wurzel,korijen,[korjeːn],root,[rut]
Adjektiv (50 Gegensätze),rau,grubo,[ɡrubo],rough,[rəf]
Adjektiv (100 allg.),rund,okrugli,[okruɡli],round,[raʊnd]
Substantiv (400 Dinge),reiben,trljati,[trʎati],rub,[rəb]
Substantiv (400 Dinge),Regel,pravilo,[praʋilo],rule,[rul]
Substantiv (400 Dinge),laufen,trčati,[trtʃati],run,[rən]
Adjektiv (50 Gegensätze),traurig,tužan,[tuʒan],sad,[sæd]
Adjektiv (50 Gegensätze),sicher,sigurno,[siɡurno],safe,[seɪf]
Substantiv (200 bildh.),segeln,ploviti,[ploʋiti],sail,[seɪl]
Substantiv (400 Dinge),Salz,sol,[sol],salt,[sɔlt]
Adjektiv (100 allg.),gleich,isti,[isti],same,[seɪm]
Substantiv (400 Dinge),Sand,pijesak,[pjeːsak],sand,[sænd]
Verb,sagen,reći,[retɕi],say,[seɪ]
Substantiv (400 Dinge),Maßstab,mjerilo,[mjerilo],scale,[skeɪl]
Substantiv (200 bildh.),Schule,škola,[ʃkola],school,[skul]
Substantiv (400 Dinge),Wissenschaft,znanosti,[znanosti],science,[saɪəns]
Substantiv (200 bildh.),Schere,škare,[ʃkare],scissors,[ˈsɪzərz]
Substantiv (200 bildh.),Schraube,vijak,[ʋijak],screw,[skru]
Substantiv (400 Dinge),Meer,more,[more],sea,[si]
Substantiv (400 Dinge),Sitz,sjedište,[sjediʃte],seat,[sit]
Adjektiv (100 allg.),zweitens,drugo,[druɡo],second,[ˈsɛkənd]
Adjektiv (50 Gegensätze),Geheimnis,tajna,[tajna],secret,[ˈsikrɪt]
Substantiv (400 Dinge),Sekretärin,tajnica,[tajnitsa],secretary,[ˈsɛkrəˌtɛri]
Verb,siehe,vidjeti,[ʋidjeti],see,[si]
Substantiv (200 bildh.),Samen,sjeme,[sjeme],seed,[sid]
Verb,scheinen,činiti se,[tʃiniti se],seem,[sim]
Substantiv (400 Dinge),Auswahl,izbor,[izbor],selection,[səˈlɛkʃən]
Substantiv (400 Dinge),selbst,sebe,[sebe],self,[sɛlf]
Verb,senden,poslati,[poslati],send,[sɛnd]
Substantiv (400 Dinge),Sinn,smislu,[smislu],sense,[sɛns]
Adjektiv (100 allg.),getrennt,odvojiti,[odʋojiti],separate,[ˈsɛpərˌeɪt]
Adjektiv (100 allg.),ernst,ozbiljno,[ozbiʎno],serious,[ˈsɪriəs]
Substantiv (400 Dinge),Diener,sluga,[sluɡa],servant,[ˈsərvənt]
Substantiv (400 Dinge),Sex,sex,[sex],sex,[sɛks]
Substantiv (400 Dinge),Schatten,sjena,[sjena],shade,[ʃeɪd]
Substantiv (400 Dinge),schütteln,tresti,[tresti],shake,[ʃeɪk]
Substantiv (400 Dinge),schade,sramota,[sramota],shame,[ʃeɪm]
Adjektiv (100 allg.),scharf,oštar,[oʃtar],sharp,[ʃɑrp]
Substantiv (200 bildh.),Schafe,ovce,[oʋtse],sheep,[ʃip]
Substantiv (200 bildh.),Regal,polica,[politsa],shelf,[ʃɛlf]
Substantiv (200 bildh.),Schiff,brod,[brod],ship,[ʃɪp]
Substantiv (200 bildh.),Hemd,košulja,[koʃuʎa],shirt,[ʃərt]
Substantiv (400 Dinge),Schock,šok,[ʃok],shock,[ʃɑk]
Substantiv (200 bildh.),Schuh,cipela,[tsipela],shoe,[ʃu]
Adjektiv (50 Gegensätze),kurz,kratko,[kratko],short,[ʃɔrt]
Adjektiv (50 Gegensätze),geschlossen,zatvoriti,[zatʋoriti],shut,[ʃət]
Substantiv (400 Dinge),Seite,strana,[strana],side,[saɪd]
Substantiv (400 Dinge),Zeichen,znak,[znak],sign,[saɪn]
Substantiv (400 Dinge),Seide,svila,[sʋila],silk,[sɪlk]
Substantiv (400 Dinge),Silber,srebro,[srebro],silver,[ˈsɪlvər]
Adjektiv (50 Gegensätze),einfach,jednostavan,[jednostaʋan],simple,[ˈsɪmpəl]
Substantiv (400 Dinge),Schwester,sestra,[sestra],sister,[ˈsɪstər]
Substantiv (400 Dinge),Größe,veličine,[ʋelitʃine],size,[saɪz]
Substantiv (200 bildh.),Haut,kože,[koʒe],skin,[skɪn]
Substantiv (200 bildh.),Rock,suknja,[sukɲa],skirt,[skərt]
